tahun,bulan,kota_kabupaten,kecamatan,kelurahan,jenis_kelamin ,jumlah
2020,06,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,Laki-Laki,2
2020,06,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,Laki-Laki,1
2020,06,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,Laki-Laki,2
2020,06,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU UNTUNG JAWA,Laki-Laki,0
2020,06,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,Laki-Laki,1
2020,06,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI,Laki-Laki,4
2020,06,JAKARTA PUSAT,GAMBIR,GAMBIR,Laki-Laki,3
2020,06,JAKARTA PUSAT,GAMBIR,CIDENG,Laki-Laki,13
2020,06,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,Laki-Laki,9
2020,06,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,Laki-Laki,19
2020,06,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,Laki-Laki,7
2020,06,JAKARTA PUSAT,GAMBIR,DURI PULO,Laki-Laki,25
2020,06,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,Laki-Laki,10
2020,06,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,Laki-Laki,16
2020,06,JAKARTA PUSAT,SAWAH BESAR,KARTINI,Laki-Laki,12
2020,06,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,Laki-Laki,7
2020,06,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,Laki-Laki,24
2020,06,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Laki-Laki,19
2020,06,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Laki-Laki,31
2020,06,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Laki-Laki,21
2020,06,JAKARTA PUSAT,KEMAYORAN,SERDANG,Laki-Laki,23
2020,06,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Laki-Laki,15
2020,06,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Laki-Laki,41
2020,06,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Laki-Laki,25
2020,06,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,Laki-Laki,18
2020,06,JAKARTA PUSAT,S E N E N,SENEN,Laki-Laki,8
2020,06,JAKARTA PUSAT,S E N E N,KENARI,Laki-Laki,3
2020,06,JAKARTA PUSAT,S E N E N,PASEBAN,Laki-Laki,32
2020,06,JAKARTA PUSAT,S E N E N,KRAMAT,Laki-Laki,29
2020,06,JAKARTA PUSAT,S E N E N,KWITANG,Laki-Laki,12
2020,06,JAKARTA PUSAT,S E N E N,BUNGUR,Laki-Laki,13
2020,06,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,Laki-Laki,26
2020,06,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,Laki-Laki,25
2020,06,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,Laki-Laki,20
2020,06,JAKARTA PUSAT,MENTENG,MENTENG,Laki-Laki,20
2020,06,JAKARTA PUSAT,MENTENG,PEGANGSAAN,Laki-Laki,15
2020,06,JAKARTA PUSAT,MENTENG,CIKINI,Laki-Laki,5
2020,06,JAKARTA PUSAT,MENTENG,GONDANGDIA,Laki-Laki,7
2020,06,JAKARTA PUSAT,MENTENG,KEBON SIRIH,Laki-Laki,17
2020,06,JAKARTA PUSAT,TANAH ABANG,GELORA,Laki-Laki,12
2020,06,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,Laki-Laki,24
2020,06,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,Laki-Laki,24
2020,06,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,Laki-Laki,35
2020,06,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,Laki-Laki,51
2020,06,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,Laki-Laki,17
2020,06,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,Laki-Laki,14
2020,06,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,Laki-Laki,27
2020,06,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,Laki-Laki,6
2020,06,JAKARTA PUSAT,JOHAR BARU,GALUR,Laki-Laki,10
2020,06,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,Laki-Laki,29
2020,06,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,Laki-Laki,130
2020,06,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,Laki-Laki,7
2020,06,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,Laki-Laki,26
2020,06,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,Laki-Laki,63
2020,06,JAKARTA UTARA,PENJARINGAN,PLUIT,Laki-Laki,26
2020,06,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,Laki-Laki,43
2020,06,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,Laki-Laki,51
2020,06,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,Laki-Laki,36
2020,06,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,Laki-Laki,50
2020,06,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,Laki-Laki,85
2020,06,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,Laki-Laki,51
2020,06,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,Laki-Laki,55
2020,06,JAKARTA UTARA,KOJA,KOJA,Laki-Laki,47
